name,freq,UPPER_CASE,SPECIES_FIRST,SPECIES_SECOND,SPECIES_THIRD,SPECIES_FOURTH,SPECIES_FIFTH
mako shark,45,MAKO SHARK,MAKO SHARK,,,,
raggedtooth shark,44,RAGGEDTOOTH SHARK,RAGGEDTOOTH SHARK,,,,
hammerhead shark,41,HAMMERHEAD SHARK,HAMMERHEAD SHARK,,,,
wobbegong shark,41,WOBBEGONG SHARK,SPOTTED WOBBEGONG,,,,
gray nurse shark,40,GRAY NURSE SHARK,NURSE SHARK,,,,
zambesi shark,34,ZAMBESI SHARK,ZAMBESI SHARK,,,,
blacktip spinner shark,22,BLACKTIP SPINNER SHARK,,BLACKTIP SHARK,SPINNER SHARK,,
sand tiger shark,19,SAND TIGER SHARK,SAND TIGER,,,,
sand shark,17,SAND SHARK,SAND SHARK,,,,
sevengill shark,15,SEVENGILL SHARK,SEVENGILL SHARK,,,,
reef shark,13,REEF SHARK,,,,,
unidentified,12,UNIDENTIFIED,,,,,
carpet shark,8,CARPET SHARK,CARPET SHARK,,,,
blue pointer,7,BLUE POINTER,SHORTFIN MAKO SHARK,,,,
copper shark,6,COPPER SHARK,BRONZE WHALER SHARK,,,,
dog shark,6,DOG SHARK,SPINY DOGFISH,,,,
porbeagle shark,6,PORBEAGLE SHARK,,,,,
whaler shark,6,WHALER SHARK,BRONZE WHALER SHARK,,,,
angel shark,5,ANGEL SHARK,ANGEL SHARK,,,,
bull tiger shark,5,BULL TIGER SHARK,,BULL SHARK,TIGER SHARK,,
colored shark,5,COLORED SHARK,,,,,
whitetip reef shark,5,WHITETIP REEF SHARK,WHITETIP REEF SHARK,,,,
blue,4,BLUE,BLUE SHARK,,,,
questionable,4,QUESTIONABLE,,,,,
sandbar shark,4,SANDBAR SHARK,SANDBAR SHARK,,,,
bronze whaler,3,BRONZE WHALER,BRONZE WHALER SHARK,,,,
gray shark,3,GRAY SHARK,,,,,
salmon shark,3,SALMON SHARK,SALMON SHARK,,,,
sand,3,SAND,SAND SHARK,,,,
shark shark,3,SHARK SHARK,,,,,
thresher shark,3,THRESHER SHARK,THRESHER SHARK,,,,
wobbegong,3,WOBBEGONG,SPOTTED WOBBEGONG,,,,
blacktip,2,BLACKTIP,BLACKTIP SHARK,,,,
blacktip reef,2,BLACKTIP REEF,BLACKTIP REEF SHARK,,,,
blue nose shark,2,BLUE NOSE SHARK,BLUE NOSE SHARK,,,,
brown shark,2,BROWN SHARK,BROWN SHARK,,,,
bull shark caribbean reef shark,2,BULL SHARK CARIBBEAN REEF SHARK,,BULL SHARK,CARIBBEAN REEF SHARK,,
bull shark tiger shark,2,BULL SHARK TIGER SHARK,,BULL SHARK,TIGER SHARK,,
c leucas,2,C LEUCAS,,,,,
cookie cutter shark,2,COOKIE CUTTER SHARK,COOKIECUTTER SHARK,,,,
dusky blacktip shark,2,DUSKY BLACKTIP SHARK,,DUSKY SHARK,BLACKTIP SHARK,,
gray,2,GRAY,,,,,
hammerhead,2,HAMMERHEAD,GREAT HAMMERHEAD SHARK,,,,
lemon shark lemon shark,2,LEMON SHARK LEMON SHARK,LEMON SHARK,,,,
leopard shark,2,LEOPARD SHARK,LEOPARD SHARK,,,,
school shark,2,SCHOOL SHARK,,,,,
shark oceanic whitetip shark,2,SHARK OCEANIC WHITETIP SHARK,OCEANIC WHITETIP SHARK,,,,
shovelnose shark,2,SHOVELNOSE SHARK,SHOVELNOSE SHARK,,,,
silvertip shark,2,SILVERTIP SHARK,SILVERTIP SHARK,,,,
spinner blacktip shark,2,SPINNER BLACKTIP SHARK,,BLACKTIP SHARK,SPINNER SHARK,,
two shark,2,TWO SHARK,,,,,
whale shark,2,WHALE SHARK,WHALE SHARK,,,,
white shark sevengill shark,2,WHITE SHARK SEVENGILL SHARK,,WHITE SHARK,SEVENGILL SHARK,,
white shark white shark,2,WHITE SHARK WHITE SHARK,WHITE SHARK,,,,
10' blue whaler,1,10' BLUE WHALER,,BLUE SHARK,BRONZE WHALER SHARK,,
15cm 20cm to bite just below left knee,1,15CM 20CM TO BITE JUST BELOW LEFT KNEE,,,,,
16' whaler,1,16' WHALER,BRONZE WHALER SHARK,,,,
6' dogfish,1,6' DOGFISH,SPINY DOGFISH,,,,
authenticated,1,AUTHENTICATED,,,,,
banjo shark,1,BANJO SHARK,BANJO SHARK,,,,
barracuda shark,1,BARRACUDA SHARK,,,,,
black finned shark,1,BLACK FINNED SHARK,,,,,
blacktail reef shark,1,BLACKTAIL REEF SHARK,,BLACKTAIL SHARK,REEF SHARK,,
blacktip sandbar shark,1,BLACKTIP SANDBAR SHARK,,BLACKTIP SHARK,SANDBAR SHARK,,
blacktip shark bamboo cat shark,1,BLACKTIP SHARK BAMBOO CAT SHARK,,BLACKTIP SHARK,BAMBOO CAT SHARK,,
blacktip shark caribbean reef shark,1,BLACKTIP SHARK CARIBBEAN REEF SHARK,,BLACKTIP SHARK,CARIBBEAN REEF SHARK,,
blacktip shark spinner shark,1,BLACKTIP SHARK SPINNER SHARK,,BLACKTIP SHARK,SPINNER SHARK,,
blactip spinner shark,1,BLACTIP SPINNER SHARK,,BLACKTIP SHARK,SPINNER SHARK,,
blind brown shark,1,BLIND BROWN SHARK,BROWN SHARK,,,,
blue porbeagle shark,1,BLUE PORBEAGLE SHARK,BLUE SHARK,,,,
blue shark blue shark,1,BLUE SHARK BLUE SHARK,BLUE SHARK,,,,
"blue whaler"" galeolamna",1,"BLUE WHALER"" GALEOLAMNA",,BLUE SHARK,BRONZE WHALER SHARK,,
bluefish bite,1,BLUEFISH BITE,,,,,
bluenose shark,1,BLUENOSE SHARK,BLUENOSE SHARK,,,,
bonita shark,1,BONITA SHARK,SHORTFIN MAKO SHARK,,,,
bronze whale shark,1,BRONZE WHALE SHARK,BRONZE WHALER SHARK,,,,
bull lemon shark,1,BULL LEMON SHARK,,BULL SHARK,LEMON SHARK,,
bull shark bull shark,1,BULL SHARK BULL SHARK,BULL SHARK,,,,
bull shark lemon shark,1,BULL SHARK LEMON SHARK,,BULL SHARK,LEMON SHARK,,
bull shark photographs shark,1,BULL SHARK PHOTOGRAPHS SHARK,BULL SHARK,,,,
c gangeticus j fayrer,1,C GANGETICUS J FAYRER,,,,,
captive shark,1,CAPTIVE SHARK,,,,,
captive shark shark,1,CAPTIVE SHARK SHARK,,,,,
carcharhinid shark,1,CARCHARHINID SHARK,,,,,
carcharinid shark schultz mako shark,1,CARCHARINID SHARK SCHULTZ MAKO SHARK,MAKO SHARK,,,,
carlsmith shark,1,CARLSMITH SHARK,,,,,
cat shark,1,CAT SHARK,,,,,
cocktail shark,1,COCKTAIL SHARK,,,,,
comrades saw shark,1,COMRADES SAW SHARK,,,,,
"considered doubtful""",1,"CONSIDERED DOUBTFUL""",,,,,
cow shark,1,COW SHARK,,,,,
