SPECIES,FROM SPECIES DATA,Equal?
MAKO SHARK,SHORTFIN MAKO SHARK,FALSE
RAGGEDTOOTH SHARK,NA,FALSE
HAMMERHEAD SHARK,GREAT HAMMERHEAD SHARK,FALSE
SPOTTED WOBBEGONG,SPOTTED WOBBEGONG,TRUE
NURSE SHARK,NURSE SHARK,TRUE
ZAMBESI SHARK,NA,FALSE
SAND TIGER,SAND TIGER,TRUE
SAND SHARK,NA,FALSE
SEVENGILL SHARK,BROADNOSE SEVENGILL SHARK,FALSE
CARPET SHARK,NA,FALSE
SHORTFIN MAKO SHARK,SHORTFIN MAKO SHARK,TRUE
BRONZE WHALER SHARK,BRONZE WHALER SHARK,TRUE
SPINY DOGFISH,NA,FALSE
ANGEL SHARK,NA,FALSE
WHITETIP REEF SHARK,NA,FALSE
BLUE SHARK,BLUE SHARK,TRUE
SANDBAR SHARK,NA,FALSE
SALMON SHARK,NA,FALSE
THRESHER SHARK,NA,FALSE
BLACKTIP SHARK,BLACKTIP SHARK,TRUE
BLACKTIP REEF SHARK,BLACKTIP REEF SHARK,TRUE
BLUE NOSE SHARK,NA,FALSE
BROWN SHARK,NA,FALSE
COOKIECUTTER SHARK,NA,FALSE
GREAT HAMMERHEAD SHARK,GREAT HAMMERHEAD SHARK,TRUE
LEMON SHARK,LEMON SHARK,TRUE
LEOPARD SHARK,NA,FALSE
OCEANIC WHITETIP SHARK,OCEANIC WHITETIP SHARK,TRUE
SHOVELNOSE SHARK,NA,FALSE
SILVERTIP SHARK,NA,FALSE
WHALE SHARK,NA,FALSE
WHITE SHARK,WHITE SHARK,TRUE
BANJO SHARK,NA,FALSE
BLUENOSE SHARK,NA,FALSE
BULL SHARK,BULL SHARK,TRUE
DUSKY SHARK,DUSKY SHARK,TRUE
GALAPGOS SHARK,GALAPGOS SHARK,TRUE
GOBLIN SHARK,NA,FALSE
GRAY REEF SHARK,GRAY REEF SHARK,TRUE
HORN SHARK,NA,FALSE
LESSER SPOTTED DOGFISH,NA,FALSE
LONGFIN MAKO SHARK,SHORTFIN MAKO SHARK,FALSE
SPINNER SHARK,SPINNER SHARK,TRUE
PORBEAGLE SHARK,NA,FALSE
PORT JACKSON SHARK,NA,FALSE
REEF SHARK,NA,FALSE
SCALLOPED HAMMERHEAD SHARK,GREAT HAMMERHEAD SHARK,FALSE
SHOVELNOSE GUITARFISH,NA,FALSE
SOUPFIN SHARK,NA,FALSE
SPOTTED CAT SHARK,NA,FALSE
STARRY SMOOTH HOUND SHARK,NA,FALSE
TAWNY NURSE SHARK,NURSE SHARK,FALSE
WHTIETIP REEF SHARK,NA,FALSE
BLACKTAIL SHARK,NA,FALSE
SIXGILL SHARK,BLUNTNOSE SIXGILL SHARK,FALSE
TIGER SHARK,TIGER SHARK,TRUE
WHALE,NA,FALSE
WHALER SHARK,BRONZE WHALER SHARK,FALSE
WHIPTAIL SHARK,NA,FALSE
CARIBBEAN REEF SHARK,CARIBBEAN REEF SHARK,TRUE
BAMBOO CAT SHARK,NA,FALSE
BLACKFIN SHARK,NA,FALSE
BONNETHEAD SHARK,NA,FALSE
SAND TIGER SHARK,NA,FALSE
CLARK SHARK,NA,FALSE
