SPECIES,Binomial_Name,Other_Names,Water_Composition,Habitat,Migratory?,Max_Depth_M,Climate,Water_Temperature,Range,Length_Male_Unknown_CM,Length_Female_CM,Conservation_Status,Kingdom,Phylum,Class,Subclass,Superorder,Order,Family,Genus,Species
WHITE SHARK,CARCHARODON CARCHARIAS,,brackish,Open Sea,Yes,250,Subtropical,," 66°N - 58°S, 180°W - 180°E ",541,594,Vulnerable,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Lamniformes,Lamnidae,Carcharodon,C. carcharias
TIGER SHARK,GALEOCERDO CUVIER ,,brackish,Bottom Dweller,Yes,350,Subtropical,,"62°N - 42°S, 180°W - 180°E",500,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Galeocerdo,G. cuvier
BULL SHARK,CARCHARHINUS LEUCAS ,,"freshwater, brackish",Reef Associated,,152,Subtropical,,"42°N - 39°S, 117°W - 170°W",360,400,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. leucas
SHORTFIN MAKO SHARK,ISURUS OXYRINCHUS ,,,Open Sea,Yes,740,Subtropical,,"61°N - 56°S, 180°W - 180°E",270,,Vulnerable,Animalia,Chordata,Chondrichthyes,,Selachimorpha,Lamniformes,Lamnidae,Isurus,I. oxyrinchus
LEMON SHARK,NEGAPRION BREVIROSTRIS ,,brackish,Reef Associated,Yes,92,Subtropical,,"45°N - 39°S, 114°W - 0°",240,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Negaprion,N. brevirostris
OCEANIC WHITETIP SHARK,CARCHARHINUS LONGIMANUS ,,,Open Sea,Yes,230,Subtropical,18°C - 28°C,"46°N - 43°S, 180°W - 180°E",270,,Vulnerable,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. longimanus
BLUE SHARK,PRIONACE GLAUCA ,,brackish,Open Sea,Yes,1000,Subtropical,7°C - 21°C,"66°N - 55°S, 180°W - 180°E ",335,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Prionace,P. glauca
GALAPAGOS SHARK,CARCHARHINUS GALAPAGENSIS ,,,Reef Associated,,286,Tropical,,"36°N - 41°S, 180°W - 180°E",300,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. galapagensis
CARIBBEAN REEF SHARK,CARCHARHINUS PEREZI ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. perezii
DUSKY SHARK,CARCHARHINUS OBSCURUS,,,,,,,,,,,Vulnerable,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. obscurus
BLACKTIP SHARK,CARCHARHINUS LIMBATUS ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. limbatus
SILKY SHARK,CARCHARHINUS FALCIFORMIS ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. falciformis
GRAY REEF SHARK,CARCHARHINUS AMBLYRHYNCHOS ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. amblyrhynchos
GREAT HAMMERHEAD SHARK,SPHYRNA MOKARRAN ,,,,,,,,,,,Endangered,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Sphyrnidae,Sphyrna,S. mokarran
BLACKTIP REEF SHARK,CARCHARHINUS MELANOPTERUS ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. melanopterus
BROADNOSE SEVENGILL SHARK,NOTORYNCHUS CEPEDIANUS ,,,,,,,,,,,Data Deficient,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Hexanchiformes,Hexanchidae,Notorynchus,N. cepedianus
BLUNTNOSE SIXGILL SHARK,HEXANCHUS GRISEUS ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Hexanchiformes,Hexanchidae,Hexanchus,H. griseus
NURSE SHARK,GINGLYMOSTOMA CIRRATUM ,,,,,,,,,,,Data Deficient,Animalia,Chordata,Chondrichthyes,Elasmobranchii,,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,G. cirratum
SAND TIGER,CARCHARIAS TAURUS ,,,,,,,,,,,Vulnerable,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Lamniformes,Odontaspididae,Carcharias,C. taurus
SPOTTED WOBBEGONG,ORECTOLOBUS MACULATUS,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,,Orectolobiformes,Orectolobidae,Orectolobus,O. maculatus
BASKING SHARK,CETORHINUS MAXIMUS ,,,,,,,,,,,Vulnerable,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Lamniformes,Cetorhinidae,Cetorhinus,C. maximus
SPINNER SHARK,CARCHARHINUS BREVIPINNA ,,,,,,,,,,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. brevipinna
BRONZE WHALER SHARK,CARCHARHINUS BRACHYURUS,"COPPER SHARK, NARROWTOOTH SHARK",brackish,Reef Associated,Yes,360,Subtropical,,45°N - 52°S ,325,,Near Threatened,Animalia,Chordata,Chondrichthyes,Elasmobranchii,Selachimorpha,Carcharhiniformes,Carcharhinidae,Carcharhinus,C. brachyurus
