Case Number,Species,feet,meters,kg
2016.03.03.R,bronze whaler,NA,NA,NA
2016.03.02,sand tiger shark,NA,NA,NA
2016.02.10.R,no shark involvement,NA,NA,NA
2016.02.10,3m shark,NA,3,NA
2016.01.28,reef shark 5',5,1.524,NA
2016.01.24.b,bull shark x 2,NA,NA,NA
2016.01.24.a,mako shark,NA,NA,NA
2016.01.23,tiger shark 14',14,4.2672,NA
2016.01.05,blacktip shark,NA,NA,NA
2016.01.02,3m shark,NA,3,NA
2015.12.26,white shark 3m ,NA,3,NA
2015.12.25,silky shark 6.5',6.5,1.9812,NA
2015.12.22,9' shark,9,2.7432,NA
2015.12.21.b,bronze whaler shark 6',6,1.8288,NA
2015.12.21.a,tiger shark 1.5m ,NA,1.5,NA
2015.12.13,white shark 3.5m ,NA,3.5,NA
2015.12.11,bull shark,NA,NA,NA
2015.11.20,galapgos shark,NA,NA,NA
2015.11.15.a,spinner shark 7',7,2.1336,NA
2015.11.10,bull shark 2.8 to 3.1m ,NA,3.1,NA
2015.12.23,shark involvement unconfirmed,NA,NA,NA
2015.11.01.b,3' to 5' shark,5,1.524,NA
2015.10.25,white shark 3 to 3.5m,NA,3.5,NA
2015.10.21,5' shark,5,1.524,NA
2015.10.19,spinner shark 5',5,1.524,NA
2015.10.17.b,no shark involvement,NA,NA,NA
2015.10.17.a,tiger shark 7',7,2.1336,NA
2015.10.13,hammerhead sp ,NA,NA,NA
2015.10.09.a,tiger shark 13',13,3.9624,NA
2015.10.05.a,4' to 5' shark,5,1.524,NA
2015.10.04,blacktip shark 4' to 5',5,1.524,NA
2015.09.29,blacktip shark 5' to 6',6,1.8288,NA
2015.09.24,white shark 19',19,5.7912,NA
2015.09.20.d,juvenile shark,NA,NA,NA
2015.09.20.c,tiger shark 13',13,3.9624,NA
2015.09.20.b,4' shark,4,1.2192,NA
2015.09.08,6' shark,6,1.8288,NA
2015.09.06,white shark 11' to 12',12,3.6576,NA
2015.09.05,hammerhead shark ,NA,NA,NA
2015.09.04,white shark 2.5m ,NA,2.5,NA
2015.09.03,4' shark ,4,1.2192,NA
2015.09.01,small shark,NA,NA,NA
2015.09.00,tiger shark,NA,NA,NA
2015.08.29.b,white shark 11' to 12',12,3.6576,NA
2015.08.29.a,white shark 10' to 12',12,3.6576,NA
2015.08.22.b,shark involvement unconfirmed,NA,NA,NA
2015.08.20,4' shark,4,1.2192,NA
2015.08.19,3' shark,3,0.9144,NA
2015.08.18.b,white shark 13',13,3.9624,NA
2015.08.18.a,shark involvement unconfirmed,NA,NA,NA
2015.08.10,hammerhead shark 6' to 7',7,2.1336,NA
2015.07.31,white shark,NA,NA,NA
2015.07.26.b,blacktip spinner shark 4',4,1.2192,NA
2015.07.26.a,thought to involve 3' to 4' shark shark involvement unconfirmed,4,1.2192,NA
2015.07.25,white shark,NA,NA,NA
2015.07.23.b,mako shark 100lb ,NA,NA,45.3592
2015.07.23.a,bronze whaler shark 1.5m,NA,1.5,NA
2015.07.22,bull shark 2m,NA,2,NA
2015.07.19,white shark,NA,NA,NA
2015.07-10,white shark 7',7,2.1336,NA
2015.07.08,shark involvement not cofirmed,NA,NA,NA
2015.07.06,no shark involvement,NA,NA,NA
2015.07.04.b,6' shark,6,1.8288,NA
2015.07.03,white shark,NA,NA,NA
2015.07.02,white shark,NA,NA,NA
2015.07.01,6' to 7' shark,7,2.1336,NA
2015.06.30.a,4' to 5' shark,5,1.524,NA
2015.06.27.b,bull shark,NA,NA,NA
2015.06.27.a,white shark,NA,NA,NA
2015.06.26.c,shark involvement unconfirmed,NA,NA,NA
2015.06.26.b,white shark 2m to 3m ,NA,3,NA
2015.06.26.a,4' shark,4,1.2192,NA
2015.06.25.R,wobbegong shark,NA,NA,NA
2015.06.24.b,sand tiger shark,NA,NA,NA
2015.06.24.a,shark involvement unconfirmed,NA,NA,NA
2015.06.23,small shark,NA,NA,NA
2015.06.14.b,bull shark,NA,NA,NA
2015.06.14.a,bull shark,NA,NA,NA
2015.06.13,mako shark,NA,NA,NA
2015.06.11,4' shark,4,1.2192,NA
2015.06.07,bull shark 5',5,1.524,NA
2015.06.05,small nurse shark,NA,NA,NA
2015.06.01,bull shark 2.5m ,NA,2.5,NA
2015.05.25,1m to 1.2m shark,NA,1.2,NA
2015.05.20,5' shark,5,1.524,NA
2015.05.09,bull shark 3.5m ,NA,3.5,NA
2015.05.15,6' shark,6,1.8288,NA
2015.05.03,white shark,NA,NA,NA
2015.05.02,white shark 3.5m ,NA,3.5,NA
2015.04.26,3- to 4' shark,4,1.2192,NA
2015.04.25,white shark 6m ,NA,6,NA
2015.04.24.c,white shark 3m ,NA,3,NA
2015.04.13,blue shark 8 to 9' ,9,2.7432,NA
2015.04.12,bull shark,NA,NA,NA
2015.04.03,bull shark,NA,NA,NA
2015.03.31,no shark involvement,NA,NA,NA
2015.03.29,shark involvement not cofirmed,NA,NA,NA
2015.03.26,white shark 4m ,NA,4,NA
2015.03.21,mako shark,NA,NA,NA
2015.03.18,tiger shark 8 to 12' ,12,3.6576,NA
2015.03.16,blacktip shark,NA,NA,NA
2015.03.07,blacktip reef shark,NA,NA,NA
2015.02.15,white shark,NA,NA,NA
2015.02.14,tiger shark 3.5m ,NA,3.5,NA
2015.02.09,3.5 to 4m shark,NA,4,NA
2015.02.08,2m to 3m shark,NA,3,NA
2015.02.05,1.8m shark,NA,1.8,NA
2015.01.30,bull shark 1.3m ,NA,1.3,NA
2015.01.27,4' shark,4,1.2192,NA
2015.01.19.b,white shark,NA,NA,NA
2015.01.19.a,shark involvement unconfirmed,NA,NA,NA
2015.01.17,5m shark,NA,5,NA
2015.01.16,1.5m shark,NA,1.5,NA
2015.01.08,no shark involvement,NA,NA,NA
2015.01.06,white shark oceanic whitetip shark,NA,NA,NA
2015.01.03,raggedtooth shark 1.3m ,NA,1.3,NA
2015.01.01, small shark,NA,NA,NA
2014.12.29.a,white shark 4 to 5m ,NA,5,NA
2014.12.29.b,2m shark,NA,2,NA
2014.12.28.d,shark involvement prior to death still to determined,NA,NA,NA
