species_tokens,Freq
-thick,1
.5m,1
+3',1
+o2356,1
<1.5m,1
<1m,1
<2m,1
<300-lb,1
>1.2m,1
>1.6m,1
>1.8m,1
>1m,3
>2.4m,2
>2.5m,1
>2m,2
>3.4m,1
>3m,2
>4m,1
>6',1
>6.7m,1
>6m,2
0.5m,1
0.6m,1
0.7m,2
0.94m,1
0.9m,18
1.1m,1
1.2,1
1.2m,92
1.3,1
1.3m,4
1.4m,5
1.5,6
1.5',1
1.5m,150
1.6,1
1.65m,1
1.6m,3
1.74m,1
1.7m,4
1.8,3
1.8m,156
1.96m,1
1.9m,5
1/5/1949,1
10',165
10'11",1
10'9",1
10-year-old,1
10.5',1
100,2
100-kg,2
100-lb,5
1000-lb,1
106cm,2
11',11
11'6",1
11'9",6
11-jan-1994,1
11.5',15
110-b,1
110-lb,1
1125-lb,1
113-kg,1
116-kg,1
1164,1
12',112
12.5',1
1200-lb,1
123-lb,1
125-lb,1
13',75
13'10",2
13'9",1
13-dec-1987,1
132-kg,1
1320-lb,1
1323-lb,1
136-kg,2
14',55
14'9",9
14.5',3
14.7',1
140-kg,2
140-lb,1
147-kg,1
15',42
15'2,2
15'3",1
15*,1
15.5',1
150-kg,2
150-lb,1
15cm,1
16',26
16.5,2
16.5',54
160-kg,1
1600-lb,1
17',5
170-kg,1
175-lb,1
18',40
18'',1
18",4
180-kg,1
180-lb,2
1874-lb,1
19',2
193-lb,2
1955,1
1961,2
2.1,2
2.13m,1
2.1m,47
2.27m,1
2.2m,1
2.3m,10
2.4m,93
2.5,4
2.5',6
2.5m,58
2.6m,6
2.7m,36
2.8,2
2.8m,6
2.9m,2
20',53
20-lb,1
200,2
200-kg,3
200-lb,6
2000-lb,2
206-lb,1
20cm,1
21',1
21.5',1
22',1
221-lb,2
23',7
23.6",1
234-lb,1
24',1
24",6
246-kg,1
249-lb,1
25',4
250-lb,3
2500-lb,1
26-oct-1943,1
270,1
270-,1
277-kg,1
28-lb,1
280-lb,1
291-lb,1
3-year,1
3.1m,1
3.2m,1
3.3m,2
3.4m,6
3.5,1
3.5',9
3.5m,33
3.6m,9
3.7,3
3.7m,57
3.8m,1
3.9m,1
3/9/1950,1
30-kg,1
30-lb,1
30",1
300,1
300-,1
300-kg,3
300-lb,2
309-lb,1
30kg,2
312-lb,1
324-lb,1
33',1
333-lb,1
34-lb,2
350-,1
350-kg,1
3500,1
353-lb,1
36",2
364-lb,1
397-lb,1
4'3",1
4'6",2
4'9,1
4.25m,2
4.2m,3
4.3m,28
4.4m,3
4.5,4
4.5',9
4.5m,23
4.6',1
4.6m,18
4.7m,1
4.8m,2
4.9m,15
40-lb,1
400-lb,6
40cm,1
420,1
420-kg,1
43",1
440-lb,1
441-lb,2
45-kg,1
450-lb,1
5'5",1
5'7",1
5-year-old,1
5.2,1
5.2m,4
5.5',5
5.5m,34
5.7m,1
5.8m,2
50-kg,2
500,1
500-kg,1
500-lb,2
500-llb,1
510-kg,1
550,1
56-kg,1
58",2
590-kg,1
595-lb,1
6'8",1
6'9",14
6.4m,1
6.5',7
6.5m,2
6.75',26
600-kg,3
600-lb,2
60cm,10
650-lb,1
66-lb,1
662-lb,3
68",1
7.3m,1
7.5',6
7.6m,4
70-kg,1
750-lb,2
76cm,1
772-lb,1
8-lb,1
8.25',28
8.5',5
8/13/2005,1
80-lb,2
800-lb,1
80cm,1
850-kg,1
87.5-kg,1
9'1",1
9'2",1
9'3",4
9'5",1
9'6",1
9'7",1
9"8,1
9.5',1
90-kg,2
900-lb,1
90cm,3
90kg,1
94-lb,1
about,1
according,13
adult,1
after,3
aka,1
albimarginatus,1
all,1
alleged,2
allegedly,2
alysha,1
andrews',1
angel,5
anglers,1
ankle,1
announced,1
another,2
appear,1
aquarium,1
area,5
ashore,1
atkins',1
attack,7
attacked,2
authenticated,1
authorities,2
averaged,2
away,1
baker<U+3E32>s,1
bamboo,1
banjo,1
barbatus,1
barracua,1
barracuda,2
barrows,1
based,8
basking,7
bay,1
beach,1
been,2
behavior,1
believed,5
belly",1
below,1
benjamin,1
beside,1
bit,1
bite,6
bites,2
bitten,1
black,1
blackfin,1
blackfin",1
blacktail,1
blacktip,103
blactip,1
blind,1
blue,56
blue",1
bluefish,2
bluenose,1
board,1
boat,6
body,3
bonita,1
bonito,1
bonnethed,1
bow,1
boy,2
breviostris,1
broadnose,2
bronze,67
brown,4
brown-colored,2
bull,171
burgess,1
buried,1
buttery,1
canicula,2
canoe,1
capt,2
captive,3
captured,7
carcharhinid,1
carcharhinus,1
carcharinid,1
caribbean,17
carlsmith,1
carnegie,1
carpet,8
cat,3
caught,19
caused,2
clark,2
clyde,1
cocktail,1
cofirmed,2
cold,1
color,1
colored,1
comrades,1
confirmed,8
considered,2
contained,1
cookie,2
copper,6
could,1
cow,1
cutter,2
dasyatidae,1
day,12
dead,1
death,15
description,4
destroyed,1
determined,2
dewitt,1
diameter,1
diver<U+3E32>s,1
divers,3
does,1
dog,6
dogfish,2
dooley,1
dorsal,1
doubtful,3
doubtful",1
dragged,1
dried,1
drowning,1
due,4
dusky,19
ebedded,1
edwards,1
eggink,1
either,1
embedded,2
europe,1
exhibited,1
exhibiting,1
exhibition,1
eyes,1
family,1
fayrer,1
feeding,1
female,19
filmed,2
fin,1
fin",1
finned,1
fins,1
fish,1
fisherman,1
fishermen,1
five,1
flat,1
follett,4
followed,1
following,2
for,2
found,7
fragment,32
francisci,1
freemantle,1
freshwater,3
gaffed,3
galapagensis,1
galapagos,4
galapgos,1
galeolamna,1
gangeticus,1
girth,1
girvan's,1
goblin,1
gralha,1
gray,63
gray-colored,4
gray-colored",1
great,1
ground,1
guitarfish,2
gummy",1
gunwale,1
gut,7
habitat,3
had,3
hammerhead,49
hand,4
harpooned,1
haulover,1
head,1
heterodontus,1
highly,1
hindered,1
his,7
hoax,2
hobson,2
hook,1
hooked,3
horn,1
hours,4
huges,1
hugh,1
hull,4
identifed,1
identification,4
identified,38
identify,1
identity,9
immature,2
impressions,1
incident,14
inflicted,1
injured,1
injury,5
instead,1
investigation,1
involve,73
involved,8
involvement,138
isaf,1
its,2
jackson,1
jaw,1
just,1
juvenile,19
kayak,1
killed,3
knee,1
known,1
kong,1
landed,1
large,10
larger,1
leader,1
leapt,1
left,1
leg,4
lemon,36
length,7
leopard,3
less,3
lesser,1
leucas,3
lifeguard,1
likely,2
limbatus,2
limbaugh,2
lion,1
listed,1
little,2
local,4
long,2
longfin,1
loxodon,1
macrurus,1
maculipinnis,1
maculpinnis,1
made,1
mako,54
male,8
man,1
man's,2
marks,3
mautin,2
may,4
media,1
melanopterus,1
menisorrah,1
miami,2
mitchell-hedges,1
more,2
moreno<U+3E32>s,1
morning,2
mortem,1
most,2
mouth,3
museum,1
nakaya,2
named,4
nearby,2
new,1
next,3
nicholls,1
nichols,1
nose,2
nosed",1
not,7
notchfin,1
number,1
numerous,1
nurse,90
obscurus,3
observed,1
observer,1
oceanic,25
officials,1
old,2
other,2
others,1
overboard,1
pack,4
part,1
partial,1
pattern,9
pectoral,1
perezi,1
photograph,5
photographs,2
pinniped,1
pointer,7
porbeagle,10
port,1
possibily,1
possible,1
possibly,63
possiby,1
post,1
precipitated,1
pregnant,4
present,1
presented,1
preta,1
previous,1
previously,1
prior,18
probable,6
probably,2
pup,2
put,1
questionable,13
raggedtooth,44
records,1
recovered,35
recovery,1
red,1
reef,66
reef",2
reese,2
remains,12
removed,1
reported,12
reportedly,1
retrieved,2
revealed,1
rhizoprionodon,1
right,1
ring,1
rough,1
round,1
rudder,1
safety,1
said,35
sailor,1
salmon,3
sam,1
same,3
sand,38
sand",2
sandbar,8
sandshark,1
saw,1
scalloped,1
schoeder,1
school,2
schultz,6
scraps,1
scyliorhinus,2
sea,1
seen,14
seized,1
semifasciata,1
serrated,1
sevengill,20
several,2
shark,3002
shark',5
shark's,5
shark",2
sharkk,1
shortfin,4
shorts,1
shot,1
shoulder,1
shovelnose,4
shreuder,1
shroeder,1
silky,4
silvertip,2
site,2
six,1
sixgill,1
sketch,1
skin,1
slim,1
smale,1
small,77
smaller,1
smith,1
smoothhound,1
some,1
soupfin,1
south,1
spear-eye,1
speared,1
speargun,1
species,26
speculated,1
spinner,47
spot,1
spotted,2
spotty,2
springer,3
spurdog,1
staff,1
stark,1
starry,1
steel,1
stewart,1
still,1
stingray,2
story,1
subsequent,1
suit,1
surfboard,2
surfer,1
survivors,3
suspected,7
swim,1
szot's,1
tail,1
taken,1
tawney,1
tawny,1
teeth,4
that,1
the,18
then,1
there,1
thin,1
this,3
those,1
though,2
thought,41
thresher,6
thrown,1
tiger,280
tintorero,1
tissue,2
toe,1
tom,1
too,1
tooth,49
total,1
triakis,1
true,1
tubar<U+653C>o,1
turtle,1
two,8
unable,1
uncofirmed,1
unconfired,1
unconfirmed,106
unidentified,13
unknown,6
unlikely,2
verify,1
very,4
vicinity,10
victim's,1
was,3
washed,1
water,3
week,4
went,1
whale,4
whaler,75
whaler",1
where,1
whiptail,1
white,610
whitetip,31
whitley,5
who,1
whtietip,1
wide,1
wire,1
with,3
within,1
witness,3
witnesses,10
wobbegong,44
woodwork,1
wound,2
wounds,2
wreck,2
yards,1
yds,1
yellow,2
young,2
zambesi,35
zealand,1
zygena,1
